epoch,train_loss,val_loss,dice,iou
1,0.21998209699111826,0.11285472921160765,0.9242805949477262,0.8692568554434665
2,0.08609407005064627,0.06602832172499147,0.9405632296273875,0.8967512152915778
3,0.051866717614671765,0.05558952966401743,0.9415876865386963,0.898100173750589
4,0.0372301231686245,0.04476330212728922,0.9488164685493292,0.9094501539718273
5,0.029641896990292214,0.04114100835177788,0.953344927277676,0.91654515127803
6,0.023461549570236134,0.037064896073452265,0.9580782416254975,0.9241011184315349
7,0.02142736454603865,0.03502281252727952,0.9576749066973842,0.9237363782039908
8,0.018305226700270877,0.035922228900152585,0.9599307539851166,0.9269555252651835
9,0.0202161734814153,0.03953583772445834,0.9506539660830831,0.9135455627774083
10,0.01803229463779751,0.03580026926342831,0.9595892623413441,0.9267254887625228
11,0.015060770089792855,0.03644742903321288,0.9583235687987749,0.9256701150605845
12,0.012935524861163953,0.03345865117342666,0.9642430225083994,0.9350619787393615
13,0.011627948925118236,0.03420470310591681,0.9647601482480072,0.9358866214752197
14,0.010981342760736451,0.03502364040807236,0.9649489230887834,0.9361100196838379
15,0.010566488346632789,0.03529296919356945,0.9648962145627931,0.936091140259144
16,0.010208279416238999,0.03537131787472686,0.9651313895402953,0.9362960804340451
17,0.00967611761571949,0.036114555025516554,0.9652882052022357,0.9366987042648848
18,0.009168956220588264,0.03796972275906524,0.9652603809223619,0.9366134446720744
19,0.008994472493855831,0.03789963319811017,0.964358292346777,0.9352744027625682
20,0.008820478527751915,0.03894584849043641,0.9648668987806454,0.9360248959341715
21,0.008489694676416762,0.038988101924228115,0.9651699482008468,0.9365523443665615
22,0.008205933926407906,0.04017050887003194,0.9649829310040141,0.9363303558771
23,0.008060490791959798,0.04055120315142842,0.9653995078663493,0.9369195602660956
24,0.007954631356851143,0.04122900092151276,0.9651828574579816,0.9365786605103071
25,0.0077719912261647334,0.04188725516893143,0.9650025423182997,0.9363648725110431
26,0.007653625699801042,0.04248961366626412,0.9651453730671905,0.9364875388699908
